Region,Interest,Year
Labuan,100,2016
Sarawak,88,2016
Pulau Pinang,85,2016
Selangor,81,2016
Perak,73,2016
Johor,72,2016
Sabah,72,2016
Negeri Sembilan,70,2016
Malacca,62,2016
Pahang,61,2016
Kedah,58,2016
Kuala Lumpur,54,2016
Perlis,52,2016
Kelantan,35,2016
Putrajaya,34,2016
Terengganu,32,2016
Pulau Pinang,100,2017
Selangor,76,2017
Perak,66,2017
Sarawak,61,2017
Johor,60,2017
Negeri Sembilan,60,2017
Kuala Lumpur,56,2017
Labuan,55,2017
Malacca,53,2017
Sabah,47,2017
Pahang,45,2017
Kedah,44,2017
Perlis,29,2017
Kelantan,29,2017
Putrajaya,27,2017
Terengganu,23,2017
Pulau Pinang,100,2018
Selangor,79,2018
Labuan,73,2018
Sarawak,62,2018
Perak,61,2018
Johor,61,2018
Kuala Lumpur,56,2018
Malacca,53,2018
Perlis,49,2018
Negeri Sembilan,48,2018
Sabah,47,2018
Pahang,44,2018
Kedah,38,2018
Putrajaya,29,2018
Terengganu,24,2018
Kelantan,23,2018
Pulau Pinang,100,2019
Selangor,89,2019
Sarawak,77,2019
Perak,76,2019
Johor,70,2019
Malacca,65,2019
Kuala Lumpur,57,2019
Negeri Sembilan,55,2019
Labuan,54,2019
Sabah,51,2019
Pahang,46,2019
Perlis,46,2019
Kedah,44,2019
Putrajaya,36,2019
Terengganu,26,2019
Kelantan,25,2019
Pulau Pinang,100,2020
Sarawak,73,2020
Selangor,72,2020
Perak,67,2020
Malacca,59,2020
Johor,58,2020
Negeri Sembilan,54,2020
Pahang,51,2020
Kuala Lumpur,49,2020
Labuan,48,2020
Sabah,47,2020
Kedah,47,2020
Putrajaya,45,2020
Perlis,39,2020
Terengganu,30,2020
Kelantan,27,2020
Pulau Pinang,100,2021
Selangor,84,2021
Sarawak,66,2021
Negeri Sembilan,65,2021
Malacca,65,2021
Perak,63,2021
Labuan,62,2021
Johor,61,2021
Kuala Lumpur,56,2021
Sabah,54,2021
Pahang,53,2021
Kedah,48,2021
Perlis,46,2021
Putrajaya,45,2021
Kelantan,34,2021
Terengganu,30,2021
Pulau Pinang,100,2022
Selangor,79,2022
Kuala Lumpur,78,2022
Labuan,77,2022
Malacca,72,2022
Sarawak,64,2022
Johor,62,2022
Perak,62,2022
Pahang,56,2022
Negeri Sembilan,55,2022
Sabah,55,2022
Kedah,47,2022
Putrajaya,46,2022
Perlis,44,2022
Kelantan,28,2022
Terengganu,28,2022
Pulau Pinang,100,2023
Selangor,88,2023
Kuala Lumpur,86,2023
Perak,70,2023
Sarawak,69,2023
Malacca,68,2023
Labuan,67,2023
Johor,66,2023
Pahang,60,2023
Sabah,56,2023
Negeri Sembilan,56,2023
Kedah,48,2023
Perlis,42,2023
Putrajaya,38,2023
Kelantan,28,2023
Terengganu,26,2023
Pulau Pinang,100,2024
Selangor,90,2024
Kuala Lumpur,87,2024
Labuan,76,2024
Perak,75,2024
Malacca,73,2024
Sarawak,72,2024
Pahang,62,2024
Johor,62,2024
Negeri Sembilan,61,2024
Perlis,54,2024
Sabah,53,2024
Putrajaya,51,2024
Kedah,51,2024
Terengganu,36,2024
Kelantan,35,2024
